,Price
303,262.642
304,260.055
305,257.569
306,256.101
307,257.741
308,264.51
309,271.941
310,267.655
311,268.562
312,269.981
313,281.268
314,291.386
315,304.274
316,293.763
317,290.261
318,290.258
319,282.262
320,277.177
321,277.466
322,274.834
323,276.116
324,278.551
325,276.546
326,277.064
327,282.7290000000001
328,288.564
329,290.788
330,291.318
331,294.087
332,290.8040000000001
333,287.751
334,284.668
335,280.98
336,280.317
337,282.591
338,283.586
339,282.593
340,279.10900000000004
341,278.091
342,272.54200000000003
343,263.326
344,264.516
345,265.458
346,267.668
347,264.053
348,264.837
349,264.722
350,258.969
351,257.85400000000004
352,253.79
353,231.748
354,232.887
355,233.452
356,229.848
357,229.287
358,219.892
359,213.673
360,225.249
361,225.623
362,227.685
363,230.117
364,229.659
365,228.792
366,228.197
367,228.016
368,227.614
369,229.058
370,231.93400000000003
371,239.717
372,240.53
373,243.394
374,240.462
375,238.539
376,239.916
377,238.114
378,232.617
379,230.218
380,230.152
381,228.705
382,230.686
383,233.043
384,231.588
385,230.94
386,228.015
387,228.689
388,230.404
389,232.239
390,235.295
391,234.051
392,233.409
393,237.125
394,237.937
395,236.866
396,236.899
397,237.726
398,238.381
399,238.794
400,238.724
401,243.136
402,245.262
403,243.701
404,243.629
405,244.579
406,245.811
407,246.638
408,247.404
409,251.284
410,254.488
411,259.868
412,269.135
413,266.726
414,263.775
415,267.214
416,268.111
417,271.908
418,276.61
419,279.731
420,289.505
421,284.408
422,292.005
423,301.252
424,309.563
425,324.762
426,321.941
427,316.3590000000001
428,335.73800000000006
429,384.145
430,449.287
431,401.566
432,372.194
433,383.625
434,382.2
435,374.932
436,365.764
437,315.768
438,327.694
439,333.68300000000005
440,333.4480000000001
441,328.106
442,322.131
443,334.5019999999999
444,333.66
445,330.832
446,319.889
447,324.813
448,324.123
449,322.867
450,320.608
451,322.3640000000001
452,342.4840000000001
453,355.977
454,354.843
455,360.479
456,376.271
457,367.19
458,355.655
459,361.925
460,359.977
461,374.789
462,393.696
463,393.935
464,395.33
465,417.576
466,415.562
467,432.05800000000005
468,432.019
469,435.76
470,441.485
471,456.742
472,456.521
473,455.108
474,459.385
475,462.587
476,453.641
477,437.468
478,439.047
