,Price
912,1181.0
913,1190.0
914,1203.0
915,1237.0
916,1270.0
917,1271.0
918,1261.0
919,1273.0
920,1252.0
921,1196.0
922,1175.0
923,1202.0
924,1168.0
925,1195.0
926,1229.0
927,1239.0
928,1248.0
929,1218.0
930,1131.0
931,1039.0
932,1014.0
933,1039.0
934,1089.0
935,1062.0
936,1043.0
937,997.754
938,934.795
939,973.897
940,1003.0
941,1045.0
942,1036.0
943,1037.0
944,1057.0
945,1083.0
946,1090.0
947,1132.0
948,1142.0
949,1128.0
950,1164.0
951,1189.0
952,1188.0
953,1194.0
954,1208.0
955,1213.0
956,1218.0
957,1191.0
958,1185.0
959,1188.0
960,1188.0
961,1190.0
962,1218.0
963,1217.0
964,1233.0
965,1256.0
966,1252.0
967,1252.0
968,1257.0
969,1269.0
970,1293.0
971,1318.0
972,1326.0
973,1335.0
974,1337.0
975,1390.0
976,1437.0
977,1462.0
978,1517.0
979,1534.0
980,1530.0
981,1541.0
982,1600.0
983,1700.0
984,1721.0
985,1800.0
986,1763.0
987,1700.0
988,1776.0
989,1722.0
990,1709.0
991,1790.0
992,1837.0
993,1923.0
994,1988.0
995,2045.0
996,2149.0
997,2208.0
998,2379.0
999,2568.0
1000,2377.0
1001,2061.0
1002,2158.0
1003,2208.0
1004,2258.0
1005,2236.0
1006,2384.0
1007,2413.0
1008,2500.0
1009,2512.0
1010,2594.0
1011,2822.0
1012,2797.0
1013,2741.0
1014,2811.0
1015,2845.0
1016,2894.0
1017,2799.0
1018,2712.0
1019,2654.0
1020,2377.0
1021,2456.0
1022,2559.0
1023,2566.0
1024,2561.0
1025,2657.0
1026,2707.0
1027,2677.0
1028,2710.0
1029,2654.0
1030,2567.0
1031,2472.0
1032,2409.0
1033,2524.0
1034,2545.0
1035,2513.0
1036,2447.0
1037,2431.0
1038,2518.0
1039,2588.0
1040,2566.0
1041,2589.0
1042,2542.0
1043,2513.0
1044,2540.0
1045,2455.0
1046,2341.0
1047,2341.0
1048,2365.0
1049,2276.0
1050,2079.0
1051,1941.0
1052,2054.0
1053,2268.0
1054,2309.0
1055,2471.0
1056,2702.0
1057,2766.0
1058,2760.0
1059,2745.0
1060,2625.0
1061,2503.0
1062,2571.0
1063,2742.0
1064,2725.0
1065,2693.0
1066,2771.0
1067,2785.0
1068,2718.0
1069,2747.0
1070,2831.0
1071,3152.0
1072,3238.0
1073,3306.0
1074,3422.0
1075,3353.0
1076,3399.0
1077,3514.0
1078,3780.0
1079,4041.0
1080,4185.0
1081,4189.0
1082,4177.0
1083,4354.0
1084,4240.0
1085,4090.0
