Date,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Cleared Volume (MW),Finale Scheduled Volume (MW),MCP (Rs/MWh)
2020-01-02 04:30:00,4982.5,25169.3,4727.3,4718.5,4718.5,1997.12
2020-01-02 04:45:00,5023.1,24170.1,4767.9,4759.1,4759.1,1999.09
2020-01-02 05:00:00,5125.6,22348.5,4833.3,4824.5,4824.5,1999.86
2020-01-02 05:15:00,5232.1,21124.9,4847.8,4839.0,4839.0,2099.05
2020-01-02 05:30:00,5028.5,20432.9,4542.77,4535.95,4535.95,2270.08
2020-01-02 05:45:00,4680.6,18881.6,4386.6,4377.8,4377.8,1999.95
2020-01-02 06:00:00,5912.4,16941.4,5245.1,5150.0,5150.0,2689.05
2020-01-02 06:15:00,6272.1,15586.4,5595.7,5202.5,5202.5,2689.47
2020-01-02 06:30:00,6803.6,14902.0,6076.2,5476.7,5476.7,2689.82
2020-01-02 06:45:00,7214.5,14852.5,6443.3,5849.9,5849.9,2929.3
2020-01-02 07:00:00,8332.4,14928.4,7460.6,6546.6,6546.6,2929.87
2020-01-02 07:15:00,9110.7,13626.8,8121.9,6922.8,6922.8,3111.37
2020-01-02 07:30:00,9359.3,13065.4,8177.0,7409.0,7409.0,3299.87
2020-01-02 07:45:00,9792.6,12316.4,8369.3,8212.2,8212.2,3605.27
2020-01-02 08:00:00,10497.7,12460.7,8915.0,8732.3,8732.3,3720.94
2020-01-02 08:15:00,10920.2,12484.6,9139.0,9135.0,9135.0,3637.1
2020-01-02 08:30:00,12331.6,11709.9,9994.4,9990.4,9990.4,4079.05
2020-01-02 08:45:00,12766.5,11390.9,10188.7,10184.7,10184.7,4259.06
2020-01-02 09:00:00,12885.9,10553.1,9948.8,9947.6,9947.6,4259.0
2020-01-02 09:15:00,13236.2,10429.2,10094.3,10094.3,10094.3,4440.58
2020-01-02 09:30:00,13209.3,10443.3,10108.4,10108.4,10108.4,4500.07
2020-01-02 09:45:00,13067.3,10395.5,10060.6,10060.6,10060.6,4300.94
2020-01-02 10:00:00,13187.4,10473.2,9906.3,9897.5,9897.5,4259.52
2020-01-02 10:15:00,13107.4,10320.2,9975.9,9967.1,9967.1,4259.98
2020-01-02 10:30:00,13121.0,10285.8,9950.9,9950.9,9950.9,4400.01
2020-01-02 10:45:00,13235.2,10247.7,9912.8,9912.8,9912.8,4500.09
2020-01-02 11:00:00,13042.4,10770.3,9921.7,9921.7,9921.7,4001.0
2020-01-02 11:15:00,12854.8,10636.6,9813.0,9813.0,9813.0,3800.88
2020-01-02 11:30:00,12570.5,10226.9,9420.5,9419.2,9419.2,4052.08
2020-01-02 11:45:00,12019.9,10221.1,9344.7,9344.7,9344.7,3800.65
2020-01-02 12:00:00,10959.9,10136.5,8602.1,8593.3,8593.3,3559.81
2020-01-02 12:15:00,10369.1,9903.8,8163.3,8154.5,8154.5,3559.47
2020-01-02 12:30:00,9657.9,9847.5,8023.1,8023.1,8023.1,3351.72
2020-01-02 12:45:00,9294.2,9945.9,7859.9,7851.1,7851.1,3199.45
2020-01-02 13:00:00,9146.7,10166.2,7477.8,7469.0,7469.0,3472.08
2020-01-02 13:15:00,8998.0,10167.2,7332.6,7323.8,7323.8,3441.46
2020-01-02 13:30:00,8793.8,10056.6,7229.2,7228.1,7228.1,3349.12
2020-01-02 13:45:00,8737.3,10212.9,7254.4,7254.4,7254.4,3250.42
2020-01-02 14:00:00,8751.1,10800.6,7347.3,7338.5,7338.5,3199.72
2020-01-02 14:15:00,8673.1,10239.3,7128.0,7128.0,7128.0,3300.47
2020-01-02 14:30:00,8703.1,10346.1,7134.8,7134.8,7134.8,3330.87
2020-01-02 14:45:00,8740.5,10447.3,7216.0,7216.0,7216.0,3250.99
2020-01-02 15:00:00,8685.5,10215.3,7312.34,7312.33,7312.33,3170.44
2020-01-02 15:15:00,8811.3,9892.6,7422.1,7413.3,7413.3,3199.12
2020-01-02 15:30:00,8558.6,9848.4,7201.3,7192.5,7192.5,3149.87
2020-01-02 15:45:00,8836.8,9697.0,7314.6,7314.6,7314.6,3251.66
2020-01-02 16:00:00,9439.0,9865.8,7515.0,7515.0,7515.0,3537.61
2020-01-02 16:15:00,9556.2,9770.3,7636.7,7630.0,7630.0,3667.1
